content	url	raw_date	length	date	filename
" At 10:45 AM, the Vice President will attend Prime Minister Modi's address to a joint meeting of Congress at the United States Capitol.  In the afternoon, the President will have lunch with the Vice President in the Private Dining Room. This lunch is closed press.  In the afternoon, the President will travel to New York, New York.The departure from South Lawn is open press and arrival at the John F. Kennedy International Airport is open to pre-credentialed media.While in New York, the President will tape an appearance on the Tonight Show with Jimmy Fallon. There will be a pool spray of this taping.  In the evening the President will participate in a DSCC roundtable at a private residence. The roundtable is closed press. Afterward, the President will deliver remarks and take questions at a DNC event at a private residence. There will be print pool coverage of the President's remarks only. Following the event, the President will depart New York City en route Washington, DC. The departure from John F. Kennedy International Airport and the arrival on the South Lawn are open press. "	obamawhitehouse.archives.gov/blog?page=22	2016-06-08T00:00:00-04:00	1094	"June 8, 2016"	160608
" At 9:00 AM LOCAL TIME/3:00 AM EDT, the Vice President will hold a bilateral meeting with Prime Minister Isa Mustafa of Kosovo. There is a pool spray at the top of this meeting at the Assembly Building.  At 9:45 AM LOCAL TIME/3:45 AM EDT, the Vice President will hold a bilateral meeting with President Hashim ThaÃ§i of Kosovo. This meeting at the Assembly Building will be closed press.  At 10:30 AM LOCAL TIME/4:30 AM EDT, Dr. Biden will tour the GraÄanica Monastery. This tour will be pooled press.  At 11:00 AM LOCAL TIME/5:00 AM EDT, the Vice President will deliver a press statement with President ThaÃ§i. This statement at the Assembly Building will be open press.  At 2:00 PM LOCAL TIME/8:00 AM EDT, the Vice President will deliver remarks at the dedication ceremony of a road that is being named by the Government of Kosovo in honor of Joseph R. €œBeau€ Biden, III; Dr. Biden will also attend. The road is being dedicated to Beau as a sign of respect and gratitude for Beau's contributions to Kosovo.  Afterwards, the Vice President and Dr. Biden will depart Pristina, Kosovo en route Washington, DC. "	obamawhitehouse.archives.gov/blog?page=15	2016-08-16T00:00:00-04:00	1112	"August 16, 2016"	160816
" In afternoon, the President will pardon the National Thanksgiving Turkey in a ceremonyin the Rose Garden.The President will celebrate the 69th anniversary of the National Thanksgiving Turkey presentation, reflect upon the time-honored traditions of Thanksgiving, and wish American families a safe and healthy holiday.The 2016 National Thanksgiving Turkey and its alternate were hatched and raised in Iowa.This ceremony is open press.   The Vice President and Dr. Biden will be in Nantucket, Massachusetts. There are no public events scheduled. Later in the afternoon, the First Family will participate in a service event in the Washington, DC area. There will be travel pool coverage. "	obamawhitehouse.archives.gov/blog?page=5	2016-11-23T00:00:00-05:00	686	"November 23, 2016"	161123
" In the afternoon, the President and First Lady will welcome the 2016 U.S. Olympic and Paralympic teams to the White House to honor their participation and success in this year's Games in Rio. The Vice President will also attend. The President's remarks in the East Room will be open press.   Later in the afternoon, the President will travel to Jerusalem. The departure from the South Lawn is open press.   In the afternoon, the Vice President will attend the visit of the 2016 U.S. Olympic and Paralympic teams in the East Room.   In the afternoon, the Vice President will depart Washington, DC en route New York, New York.   While in New York, the Vice President will tape an interview for The Tonight Show with Jimmy Fallon.   At 7:00 PM, the Vice President will deliver remarks at a DSCC event. These remarks at a private residence will be closed press.   The Vice President will remain overnight in New York City. "	obamawhitehouse.archives.gov/blog?page=11	2016-09-29T00:00:00-04:00	920	"September 29, 2016"	160929
" In the afternoon, the President and Vice President will meet with Secretary of Defense Hagel in the Oval Office. This meeting is closed press.  Later in the afternoon, the President will host the 2013 Presidents Cup Team at the White House. The Vice President will also attend. This event in the East Room is open press. "	obamawhitehouse.archives.gov/blog?page=81	2014-06-24T00:00:00-04:00	322	"June 24, 2014"	140624
" In the afternoon, the President will arrive at the German Chancellery. There will be pre-set pool coverage of the arrival.   Afterward, the President will hold restricted and expanded bilateral meetings with Chancellor Merkel. The restricted bilateral meeting is closed press, and there will be a pool spray at the top of the expanded bilateral meeting.   In the afternoon, the Vice President will meet with senior advisors.Later in the afternoon, the President will hold a press conference with Chancellor Merkel. This press conference is pooled for cameras and open to correspondents.   In the evening, the Vice President will attend a dinner hosted by Ambassador of Colombia to the United States Juan Carlos Pinzon. This dinner at the Colombian Ambassador's Residence will be closed press.   In the evening, Dr. Bidenwill deliver the keynote address at a celebration of the 20th anniversary of Community College Research Center at Teachers College, Columbia University in New York.Her remarks at the Community College Research Center are open press.   In the evening, the President will attend a dinner with Chancellor Merkel. This dinner at the German Chancellery is closed press.   The President will remain overnight in Berlin."	obamawhitehouse.archives.gov/blog?page=6	2016-11-17T00:00:00-05:00	1234	"November 17, 2016"	161117
" In the afternoon, the President will deliver a statement on the climate agreement from the Cabinet Room.There will be limited pool coverage. "	obamawhitehouse.archives.gov/blog?page=40	2015-12-12T00:00:00-05:00	142	"December 12, 2015"	151212
" In the afternoon, the President will greet leaders from the Association of Southeast Asian Nations at the Sunnylands Center, The Annenberg Retreat at Sunnylands, Rancho Mirage, California.There will be pool coverage of this event. Later in the afternoon, the President will host the first retreat session with ASEAN leaders at the Sunnylands Center.There will be a pool spray for remarks at the top of this meeting.In the evening, the President will host a working dinner with ASEAN leaders at The Historic House, The Annenberg Retreat at Sunnylands. This dinner will be closed press. "	obamawhitehouse.archives.gov/blog?page=33	2016-02-15T00:00:00-05:00	586	"February 15, 2016"	160215
" In the afternoon, the President will have lunch with the Vice President in the Private Dining Room. This lunch is closed press.   Later in the afternoon, the President will hold a press conference before departing for his trip overseas. This press conference in the Brady Press Briefing Room is open press.   In the evening, the President will depart Washington, DC en route Athens, Greece.The departure from the South Lawn is open press.   The President will remain overnight aboard Air Force One.   "	obamawhitehouse.archives.gov/blog?page=6	2016-11-14T00:00:00-05:00	502	"November 14, 2016"	161114
" In the afternoon, the President will have lunch with the Vice President in the Private Dining Room. This lunch is closed press.   Later in the afternoon, the President will participate in a conference call with Affordable Care Act advocates and stakeholders. This call in the Oval Office is closed press.   In the evening, the Vice President will deliver remarks at the Oxi Day Celebration. These remarks at the U.S. Institute of Peace will be open press. "	obamawhitehouse.archives.gov/blog?page=8	2016-10-27T00:00:00-04:00	457	"October 27, 2016"	161027
" In the afternoon, the President will hold a bilateral meeting with King Salman bin Abd alAziz of Saudi Arabia; the Vice President will also attend. There will be a pool spray at the top of this meeting in the Oval Office. Following this meeting, the President will host a working lunch with the King; the Vice President will also attend. The President and the King will discuss a range of issues and focus on ways to further strengthen the bilateral partnership, including our joint security and counter-terrorism efforts. The working lunch in the Cabinet Room is closed press.   Later in the afternoon, the President will meet with Secretary of Defense Carter in the Oval Office; the Vice President will also attend. This meeting is closed press. "	obamawhitehouse.archives.gov/blog?page=50	2015-09-04T00:00:00-04:00	749	"September 4, 2015"	150904
" In the afternoon, the President will host a Hanukkah reception in the East Room. The First Lady will also attend. There will be pooled press coverage of the President's remarks.   Later in the afternoon, the President will deliver remarks at a My Brother's Keeper summit. The President's remarks in South Court Auditorium will be open to pre-credentialed media. Throughout the day, the Vice President will attend meetings at the White House.   In the evening, the President will host a second Hanukkah reception in the East Room. The First Lady will also attend. There will be pooled press coverage of the President's remarks. "	obamawhitehouse.archives.gov/blog?page=3	2016-12-14T00:00:00-05:00	628	"December 14, 2016"	161214
" In the afternoon, the President will host top economists for lunch to discuss ways to accelerate economic growth, expand opportunity, and improve the competitiveness of the American economy. The Vice President will also attend. This meeting in the Old Family Dining Room will be closed press.Later in the afternoon, the President and the Vice President will meet with Secretary of the Treasury Lew in the Oval Office. This meeting is closed press.  Afterward, the President and the Vice President will receive the Presidential Daily Briefing in the Oval Office. This meeting is closed press. "	obamawhitehouse.archives.gov/blog?page=81	2014-07-02T00:00:00-04:00	593	"July 2, 2014"	140702
" In the afternoon, the President will meet with Attorney General Loretta Lynch and FBI Director James Comey in the Oval Office. There will be a pool spray at the bottom of this meeting in the Oval Office.  Later in the afternoon, the President will meet with Secretary of Defense Ash Carter.This meeting in the Oval Office is closed press.   "	obamawhitehouse.archives.gov/blog?page=18	2016-07-19T00:00:00-04:00	342	"July 19, 2016"	160719
